Registration,Aircraft,Brand,Type,Age,Key,Hex
N543DE,Airbus A321neo,Airbus,A321neo,1,2929,0B71
N543EA,Bombardier CRJ-700,Bombardier,CRJ-700,13,2930,0B72
N543GJ,Bombardier CRJ-700,Bombardier,CRJ-700,18,2931,0B73
N543US,Boeing 757-251,Boeing,757-200,28,2932,0B74
N543UW,Airbus A321-231,Airbus,A321-200,13,2933,0B75
N544DN,Airbus A321neo,Airbus,A321neo,1,2934,0B76
N544EA,Bombardier CRJ-700,Bombardier,CRJ-700,13,2935,0B77
N544GJ,Bombardier CRJ-700,Bombardier,CRJ-700,18,2936,0B78
N544US,Boeing 757-251,Boeing,757-200,28,2937,0B79
N544UW,Airbus A321-231,Airbus,A321-200,13,2938,0B7A
N545DE,Airbus A321neo,Airbus,A321neo,1,2939,0B7B
N545GJ,Bombardier CRJ-700,Bombardier,CRJ-700,18,2940,0B7C
N545PB,Bombardier CRJ-700,Bombardier,CRJ-700,13,2941,0B7D
N545US,Boeing 757-251,Boeing,757-200,28,2942,0B7E
N545UW,Airbus A321-231,Airbus,A321-200,13,2943,0B7F
N546AS,Boeing 737-890,Boeing,737-800,19,2944,0B80
N546DN,Airbus A321neo,Airbus,A321neo,1,2945,0B81
N546FF,Bombardier CRJ-700,Bombardier,CRJ-700,13,2946,0B82
N546GJ,Bombardier CRJ-700,Bombardier,CRJ-700,16,2947,0B83
N546US,Boeing 757-251,Boeing,757-200,28,2948,0B84
N546UW,Airbus A321-231,Airbus,A321-200,13,2949,0B85
N54711,Boeing 737-724,Boeing,737-700,26,2950,0B86
N547GJ,Bombardier CRJ-700,Bombardier,CRJ-700,15,2951,0B87
N547JB,Airbus A320-232,Airbus,A320-200,22,2952,0B88
N547NN,Bombardier CRJ-900,Bombardier,CRJ-900,10,2953,0B89
N547US,Boeing 757-251,Boeing,757-200,28,2954,0B8A
N548AS,Boeing 737-890,Boeing,737-800,19,2955,0B8B
N548CA,Bombardier CRJ-900,Bombardier,CRJ-900,16,2956,0B8C
N548GJ,Bombardier CRJ-700,Bombardier,CRJ-700,15,2957,0B8D
N548NN,Bombardier CRJ-900,Bombardier,CRJ-900,10,2958,0B8E
N548US,Boeing 757-251,Boeing,757-200,28,2959,0B8F
N549AS,Boeing 737-8FH,Boeing,737-800,19,2960,0B90
N549CA,Bombardier CRJ-900,Bombardier,CRJ-900,16,2961,0B91
N549DN,Airbus A321neo,Airbus,A321neo,1,2962,0B92
N549GJ,Bombardier CRJ-700,Bombardier,CRJ-700,15,2963,0B93
N549NN,Bombardier CRJ-900LR,Bombardier,CRJ-900LR,10,2964,0B94
N549US,Boeing 757-251,Boeing,757-200,28,2965,0B95
N549UW,Airbus A321-231,Airbus,A321-200,13,2966,0B96
N550NN,Bombardier CRJ-900,Bombardier,CRJ-900,10,2967,0B97
N550NW,Boeing 757-251,Boeing,757-200,23,2968,0B98
N550WN,Boeing 737-76Q,Boeing,737-700,23,2969,0B99
N551AS,Boeing 737-890,Boeing,737-800,18,2970,0B9A
N551GJ,Bombardier CRJ-700,Bombardier,CRJ-700,15,2971,0B9B
N551NN,Bombardier CRJ-900,Bombardier,CRJ-900,10,2972,0B9C
N551NW,Boeing 757-251,Boeing,757-200,23,2973,0B9D
N551UW,Airbus A321-231,Airbus,A321-200,13,2974,0B9E
N551WN,Boeing 737-76Q,Boeing,737-700,23,2975,0B9F
N552AS,Boeing 737-890,Boeing,737-800,18,2976,0BA0
N552GJ,Bombardier CRJ-700,Bombardier,CRJ-700,15,2977,0BA1
N552JB,Airbus A320-232,Airbus,A320-200,22,2978,0BA2
N552NN,Bombardier CRJ-900,Bombardier,CRJ-900,10,2979,0BA3
N552NW,Boeing 757-251,Boeing,757-200,23,2980,0BA4
N552UW,Airbus A321-231,Airbus,A321-200,13,2981,0BA5
N553AS,Boeing 737-890,Boeing,737-800,18,2982,0BA6
N553GJ,Bombardier CRJ-700,Bombardier,CRJ-700,15,2983,0BA7
N553NN,Bombardier CRJ-900,Bombardier,CRJ-900,10,2984,0BA8
N553NW,Boeing 757-251,Boeing,757-200,23,2985,0BA9
N553UW,Airbus A321-231,Airbus,A321-200,13,2986,0BAA
N554CA,Bombardier CRJ-900,Bombardier,CRJ-900,16,2987,0BAB
N554GJ,Bombardier CRJ-700,Bombardier,CRJ-700,15,2988,0BAC
N554JB,Airbus A320-232,Airbus,A320-200,22,2989,0BAD
N554NN,Bombardier CRJ-900,Bombardier,CRJ-900,10,2990,0BAE
N554NW,Boeing 757-251,Boeing,757-200,23,2991,0BAF
N554UW,Airbus A321-231,Airbus,A321-200,13,2992,0BB0
N555LV,Boeing 737-7BD,Boeing,737-700,13,2993,0BB1
N555NN,Bombardier CRJ-900,Bombardier,CRJ-900,10,2994,0BB2
N555NW,Boeing 757-251,Boeing,757-200,22,2995,0BB3
N556AS,Boeing 737-890,Boeing,737-800,18,2996,0BB4
N556JB,Airbus A320-232,Airbus,A320-200,22,2997,0BB5
N556NN,Bombardier CRJ-900,Bombardier,CRJ-900,10,2998,0BB6
N556NW,Boeing 757-251,Boeing,757-200,22,2999,0BB7
N556UW,Airbus A321-231,Airbus,A321-200,12,3000,0BB8
N556WN,Boeing 737-7BD,Boeing,737-700,13,3001,0BB9
N557AS,Boeing 737-890,Boeing,737-800,18,3002,0BBA
N557NN,Bombardier CRJ-900,Bombardier,CRJ-900,10,3003,0BBB
N557NW,Boeing 757-251,Boeing,757-200,22,3004,0BBC
N557UW,Airbus A321-231,Airbus,A321-200,12,3005,0BBD
N557WN,Boeing 737-790,Boeing,737-700,24,3006,0BBE
N558AS,Boeing 737-890,Boeing,737-800,18,3007,0BBF
N558JB,Airbus A320-232,Airbus,A320-200,21,3008,0BC0
N558NN,Bombardier CRJ-900,Bombardier,CRJ-900,10,3009,0BC1
N558UW,Airbus A321-231,Airbus,A321-200,12,3010,0BC2
N558WN,Boeing 737-73V,Boeing,737-700,22,3011,0BC3
N559AS,Boeing 737-890,Boeing,737-800,18,3012,0BC4
N559JB,Airbus A320-232,Airbus,A320-200,21,3013,0BC5
N559NN,Bombardier CRJ-900,Bombardier,CRJ-900,10,3014,0BC6
N559UW,Airbus A321-231,Airbus,A321-200,12,3015,0BC7
N559WN,Boeing 737-73V,Boeing,737-700,22,3016,0BC8
N560AS,Boeing 737-890,Boeing,737-800,18,3017,0BC9
N560NN,Bombardier CRJ-900,Bombardier,CRJ-900,10,3018,0BCA
N560UW,Airbus A321-231,Airbus,A321-200,12,3019,0BCB
N560WN,Boeing 737-790,Boeing,737-700,24,3020,0BCC
N561JB,Airbus A320-232,Airbus,A320-200,21,3021,0BCD
N561NN,Bombardier CRJ-900,Bombardier,CRJ-900,10,3022,0BCE
N561UW,Airbus A321-231,Airbus,A321-200,12,3023,0BCF
N561WN,Boeing 737-73V,Boeing,737-700,21,3024,0BD0
N562AS,Boeing 737-890,Boeing,737-800,18,3025,0BD1
N562JB,Airbus A320-232,Airbus,A320-200,21,3026,0BD2
N562NN,Bombardier CRJ-900,Bombardier,CRJ-900,10,3027,0BD3
N562UW,Airbus A321-231,Airbus,A321-200,12,3028,0BD4
N562WN,Boeing 737-790,Boeing,737-700,24,3029,0BD5
N563AS,Boeing 737-890,Boeing,737-800,18,3030,0BD6
N563JB,Airbus A320-232,Airbus,A320-200,21,3031,0BD7
N563NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3032,0BD8
N563UW,Airbus A321-231,Airbus,A321-200,12,3033,0BD9
N563WN,Boeing 737-752,Boeing,737-700,22,3034,0BDA
N564AS,Boeing 737-890,Boeing,737-800,18,3035,0BDB
N564JB,Airbus A320-232,Airbus,A320-200,21,3036,0BDC
N564NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3037,0BDD
N564WN,Boeing 737-73V,Boeing,737-700,22,3038,0BDE
N565AS,Boeing 737-890,Boeing,737-800,18,3039,0BDF
N565JB,Airbus A320-232,Airbus,A320-200,21,3040,0BE0
N565NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3041,0BE1
N565WN,Boeing 737-76Q,Boeing,737-700,22,3042,0BE2
N566AS,Boeing 737-890,Boeing,737-800,17,3043,0BE3
N566JB,Airbus A320-232,Airbus,A320-200,21,3044,0BE4
N566NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3045,0BE5
N566WN,Boeing 737-7CT,Boeing,737-700,22,3046,0BE6
N567NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3047,0BE7
N567UW,Airbus A321-231,Airbus,A321-200,11,3048,0BE8
N567WN,Boeing 737-7CT,Boeing,737-700,22,3049,0BE9
N56859,Boeing 757-324,Boeing,757-300,20,3050,0BEA
N568AS,Boeing 737-890,Boeing,737-800,17,3051,0BEB
N568DZ,Airbus A350-941,Airbus,A350-900,9,3052,0BEC
N568JB,Airbus A320-232,Airbus,A320-200,21,3053,0BED
N568NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3054,0BEE
N568UW,Airbus A321-231,Airbus,A321-200,11,3055,0BEF
N569AS,Boeing 737-890,Boeing,737-800,17,3056,0BF0
N569DZ,Airbus A350-941,Airbus,A350-900,8,3057,0BF1
N569JB,Airbus A320-232,Airbus,A320-200,21,3058,0BF2
N569NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3059,0BF3
N569WN,Boeing 737-7CT,Boeing,737-700,22,3060,0BF4
N57016,Boeing 777-224,Boeing,777-200,24,3061,0BF5
N570AS,Boeing 737-890,Boeing,737-800,17,3062,0BF6
N570DZ,Airbus A350-900,Airbus,A350-900,8,3063,0BF7
N570JB,Airbus A320-232,Airbus,A320-200,21,3064,0BF8
N570NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3065,0BF9
N570WN,Boeing 737-7CT,Boeing,737-700,22,3066,0BFA
N57111,Boeing 757-224,Boeing,757-200,30,3067,0BFB
N571DZ,Airbus A350-941,Airbus,A350-900,8,3068,0BFC
N571JB,Airbus A320-232,Airbus,A320-200,21,3069,0BFD
N571NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3070,0BFE
N57286,Boeing 737 MAX 8,Boeing,737 MAX 8,2,3071,0BFF
N57299,Boeing 737 MAX 8,Boeing,737 MAX 8,1,3072,0C00
N572DZ,Airbus A350-941,Airbus,A350-900,6,3073,0C01
N572NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3074,0C02
N572UW,Airbus A321-231,Airbus,A321-200,11,3075,0C03
N573DZ,Airbus A350-941,Airbus,A350-900,6,3076,0C04
N573NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3077,0C05
N573UW,Airbus A321-231,Airbus,A321-200,10,3078,0C06
N57439,Boeing 737-924ER,Boeing,737-900ER,15,3079,0C07
N574DZ,Airbus A350-941,Airbus,A350-900,5,3080,0C08
N574NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3081,0C09
N575DZ,Airbus A350-900,Airbus,A350-900,5,3082,0C0A
N575NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3083,0C0B
N575UW,Airbus A321-231,Airbus,A321-200,10,3084,0C0C
N576DZ,Airbus A350-900,Airbus,A350-900,5,3085,0C0D
N576NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3086,0C0E
N576UW,Airbus A321-231,Airbus,A321-200,10,3087,0C0F
N577AS,Boeing 737-890,Boeing,737-800,17,3088,0C10
N577NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3089,0C11
N57852,Boeing 757-324,Boeing,757-300,23,3090,0C12
N57855,Boeing 757-324,Boeing,757-300,20,3091,0C13
N57857,Boeing 757-324,Boeing,757-300,20,3092,0C14
N57862,Boeing 757-33N,Boeing,757-300,23,3093,0C15
N57863,Boeing 757-33N,Boeing,757-300,23,3094,0C16
N57864,Boeing 757-33N,Boeing,757-300,23,3095,0C17
N57868,Boeing 757-33N,Boeing,757-300,22,3096,0C18
N57869,Boeing 757-33N,Boeing,757-300,22,3097,0C19
N57870,Boeing 757-33N,Boeing,757-300,21,3098,0C1A
N578GJ,Bombardier CRJ-700,Bombardier,CRJ-700,21,3099,0C1B
N578NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3100,0C1C
N578UW,Airbus A321-231,Airbus,A321-200,10,3101,0C1D
N579AS,Boeing 737-890,Boeing,737-800,17,3102,0C1E
N579JB,Airbus A320-232,Airbus,A320-200,21,3103,0C1F
N579NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3104,0C20
N579UW,Airbus A321-231,Airbus,A321-200,10,3105,0C21
N580JB,Airbus A320-232,Airbus,A320-200,21,3106,0C22
N580NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3107,0C23
N580UW,Airbus A321-231,Airbus,A321-200,10,3108,0C24
N58101,Boeing 757-224,Boeing,757-200,30,3109,0C25
N581AS,Boeing 737-890,Boeing,737-800,17,3110,0C26
N581NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3111,0C27
N581NW,Boeing 757-351,Boeing,757-300,22,3112,0C28
N581UW,Airbus A321-231,Airbus,A321-200,10,3113,0C29
N582CA,Bombardier CRJ-900,Bombardier,CRJ-900,16,3114,0C2A
N582NN,Bombardier CRJ-900,Bombardier,CRJ-900,9,3115,0C2B
N582NW,Boeing 757-351,Boeing,757-300,22,3116,0C2C
N582UW,Airbus A321-231,Airbus,A321-200,10,3117,0C2D
N583AS,Boeing 737-890,Boeing,737-800,17,3118,0C2E
N583JB,Airbus A320-232,Airbus,A320-200,20,3119,0C2F
N583NN,Bombardier CRJ-900,Bombardier,CRJ-900,8,3120,0C30
N583NW,Boeing 757-351,Boeing,757-300,22,3121,0C31
N583UW,Airbus A321-231,Airbus,A321-200,10,3122,0C32
N584AS,Boeing 737-890,Boeing,737-800,17,3123,0C33
N584JB,Airbus A320-232,Airbus,A320-200,20,3124,0C34
N584NN,Bombardier CRJ-900,Bombardier,CRJ-900,8,3125,0C35
N584NW,Boeing 757-351,Boeing,757-300,22,3126,0C36
N584UW,Airbus A321-231,Airbus,A321-200,10,3127,0C37
N585AS,Boeing 737-890,Boeing,737-800,17,3128,0C38
N585JB,Airbus A320-232,Airbus,A320-200,20,3129,0C39
N585NN,Bombardier CRJ-900,Bombardier,CRJ-900,8,3130,0C3A
N585NW,Boeing 757-351,Boeing,757-300,22,3131,0C3B
N585UW,Airbus A321-231,Airbus,A321-200,10,3132,0C3C
N586AS,Boeing 737-890,Boeing,737-800,17,3133,0C3D
N586JB,Airbus A320-232,Airbus,A320-200,20,3134,0C3E
N586NN,Bombardier CRJ-900,Bombardier,CRJ-900,8,3135,0C3F
N586NW,Boeing 757-351,Boeing,757-300,22,3136,0C40
N586UW,Airbus A321-231,Airbus,A321-200,10,3137,0C41
N587AS,Boeing 737-890,Boeing,737-800,17,3138,0C42
N587JB,Airbus A320-232,Airbus,A320-200,20,3139,0C43
N587NN,Bombardier CRJ-900,Bombardier,CRJ-900,8,3140,0C44
N587NW,Boeing 757-351,Boeing,757-300,22,3141,0C45
N587UW,Airbus A321-231,Airbus,A321-200,10,3142,0C46
N588AS,Boeing 737-890,Boeing,737-800,17,3143,0C47
N588JB,Airbus A320-232,Airbus,A320-200,20,3144,0C48
N588NN,Bombardier CRJ-900,Bombardier,CRJ-900,8,3145,0C49
N588NW,Boeing 757-351,Boeing,757-300,21,3146,0C4A
N589AS,Boeing 737-890,Boeing,737-800,17,3147,0C4B
N589JB,Airbus A320-232,Airbus,A320-200,20,3148,0C4C
N589NN,Bombardier CRJ-900,Bombardier,CRJ-900,8,3149,0C4D
N589NW,Boeing 757-351,Boeing,757-300,21,3150,0C4E
N59053,Boeing 767-424ER,Boeing,767-400ER,24,3151,0C4F
N590AS,Boeing 737-890,Boeing,737-800,16,3152,0C50
N590JB,Airbus A320-232,Airbus,A320-200,20,3153,0C51
N590NN,Bombardier CRJ-900,Bombardier,CRJ-900,8,3154,0C52
N590NW,Boeing 757-351,Boeing,757-300,21,3155,0C53
N591JB,Airbus A320-232,Airbus,A320-200,20,3156,0C54
N591NN,Bombardier CRJ-900,Bombardier,CRJ-900,8,3157,0C55
N591NW,Boeing 757-351,Boeing,757-300,21,3158,0C56
N592AS,Boeing 737-890,Boeing,737-800,16,3159,0C57
N592JB,Airbus A320-232,Airbus,A320-200,20,3160,0C58
N592NN,Bombardier CRJ-900,Bombardier,CRJ-900,8,3161,0C59
N592NW,Boeing 757-351,Boeing,757-300,21,3162,0C5A
N593AS,Boeing 737-890,Boeing,737-800,16,3163,0C5B
N593JB,Airbus A320-232,Airbus,A320-200,20,3164,0C5C
N593NN,Bombardier CRJ-900,Bombardier,CRJ-900,8,3165,0C5D
N593NW,Boeing 757-351,Boeing,757-300,21,3166,0C5E
N594AS,Boeing 737-890,Boeing,737-800,16,3167,0C5F
N594JB,Airbus A320-232,Airbus,A320-200,20,3168,0C60
N594NN,Bombardier CRJ-900,Bombardier,CRJ-900,8,3169,0C61
N594NW,Boeing 757-351,Boeing,757-300,21,3170,0C62
N595JB,Airbus A320-232,Airbus,A320-200,20,3171,0C63
N595NN,Bombardier CRJ-900,Bombardier,CRJ-900,8,3172,0C64
N595NW,Boeing 757-351,Boeing,757-300,21,3173,0C65
N596AS,Boeing 737-890,Boeing,737-800,16,3174,0C66
N596NN,Bombardier CRJ-900,Bombardier,CRJ-900,8,3175,0C67
N596NW,Boeing 757-351,Boeing,757-300,21,3176,0C68
N597AS,Boeing 737-890,Boeing,737-800,16,3177,0C69
N597JB,Airbus A320-232,Airbus,A320-200,20,3178,0C6A
N597NN,Bombardier CRJ-900,Bombardier,CRJ-900,8,3179,0C6B
N598JB,Airbus A320-232,Airbus,A320-200,20,3180,0C6C
N598NN,Bombardier CRJ-900,Bombardier,CRJ-900,8,3181,0C6D
N599JB,Airbus A320-232,Airbus,A320-200,20,3182,0C6E
N599NN,Bombardier CRJ-900,Bombardier,CRJ-900,8,3183,0C6F
N600LR,Bombardier CRJ-900,Bombardier,CRJ-900,17,3184,0C70
N600NN,Bombardier CRJ-900,Bombardier,CRJ-900,8,3185,0C71
N601AW,Airbus A320-232,Airbus,A320-200,21,3186,0C72
N601EN,Bombardier CRJ-900,Bombardier,CRJ-900,5,3187,0C73
N601LR,Bombardier CRJ-900,Bombardier,CRJ-900,17,3188,0C74
N601NK,Airbus A320-232,Airbus,A320-200,14,3189,0C75
N601UX,Embraer ERJ 175LR,Embraer,ERJ 175LR,5,3190,0C76
N601XJ,Bombardier CRJ-200,Bombardier,CRJ-200,19,3191,0C77
N602LR,Bombardier CRJ-900,Bombardier,CRJ-900,16,3192,0C78
N602NK,Airbus A320-232,Airbus,A320-200,14,3193,0C79
N602NN,Bombardier CRJ-900,Bombardier,CRJ-900,5,3194,0C7A
N602UX,Embraer ERJ 175LR,Embraer,ERJ 175LR,5,3195,0C7B
N602XJ,Bombardier CRJ-200,Bombardier,CRJ-200,19,3196,0C7C
N603AT,Boeing 717-200,Boeing,717-200,23,3197,0C7D
N603CZ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,3198,0C7E
N603FR,Airbus A321neo,Airbus,A321neo,2,3199,0C7F
N603JB,Airbus A320-232,Airbus,A320-200,19,3200,0C80
N603NK,Airbus A320-232,Airbus,A320-200,14,3201,0C81
N603NN,Bombardier CRJ-900,Bombardier,CRJ-900,5,3202,0C82
N603SK,Bombardier CRJ-700,Bombardier,CRJ-700,18,3203,0C83
N603UX,Embraer ERJ 175LR,Embraer,ERJ 175LR,5,3204,0C84
N604AW,Airbus A320-232,Airbus,A320-200,24,3205,0C85
N604CZ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,3206,0C86
N604FR,Airbus A321neo,Airbus,A321neo,2,3207,0C87
N604LR,Bombardier CRJ-900,Bombardier,CRJ-900,17,3208,0C88
N604NK,Airbus A320-200,Airbus,A320-200,14,3209,0C89
N604NN,Bombardier CRJ-900,Bombardier,CRJ-900,5,3210,0C8A
N604SK,Bombardier CRJ-700,Bombardier,CRJ-700,18,3211,0C8B
N604UX,Embraer ERJ 175LR,Embraer,ERJ 175LR,5,3212,0C8C
N605FR,Airbus A321neo,Airbus,A321neo,2,3213,0C8D
N605JB,Airbus A320-232,Airbus,A320-200,19,3214,0C8E
N605LR,Bombardier CRJ-900,Bombardier,CRJ-900,16,3215,0C8F
N605NK,Airbus A320-232,Airbus,A320-200,13,3216,0C90
N605NN,Bombardier CRJ-900,Bombardier,CRJ-900,5,3217,0C91
N605UX,Embraer ERJ 175LR,Embraer,ERJ 175LR,5,3218,0C92
N606FR,Airbus A321neo,Airbus,A321neo,1,3219,0C93
N606JB,Airbus A320-232,Airbus,A320-200,19,3220,0C94
N606LR,Bombardier CRJ-900,Bombardier,CRJ-900,16,3221,0C95
N606NK,Airbus A320-232,Airbus,A320-200,13,3222,0C96
N606NN,Bombardier CRJ-900,Bombardier,CRJ-900,5,3223,0C97
N606SK,Bombardier CRJ-700,Bombardier,CRJ-700,18,3224,0C98
N606UX,Embraer ERJ 175LR,Embraer,ERJ 175LR,5,3225,0C99
N607AS,Boeing 737-790,Boeing,737-700,25,3226,0C9A
N607AT,Boeing 717-200,Boeing,717-200,24,3227,0C9B
N607CZ,Embraer ERJ 175LR,Embraer,ERJ 175LR,17,3228,0C9C
N607FR,Airbus A321neo,Airbus,A321neo,2,3229,0C9D
N607JB,Airbus A320-232,Airbus,A320-200,19,3230,0C9E
N607LR,Bombardier CRJ-900,Bombardier,CRJ-900,16,3231,0C9F
N607NK,Airbus A320-232,Airbus,A320-200,13,3232,0CA0
N607NN,Bombardier CRJ-900,Bombardier,CRJ-900,5,3233,0CA1
N607SK,Bombardier CRJ-700,Bombardier,CRJ-700,18,3234,0CA2
N607UX,Embraer ERJ 175LR,Embraer,ERJ 175LR,5,3235,0CA3
N608AT,Boeing 717-200,Boeing,717-200,24,3236,0CA4
N608JB,Airbus A320-232,Airbus,A320-200,19,3237,0CA5
N608NK,Airbus A320-232,Airbus,A320-200,13,3238,0CA6
N608NN,Bombardier CRJ-900,Bombardier,CRJ-900,5,3239,0CA7
N608SK,Bombardier CRJ-700,Bombardier,CRJ-700,18,3240,0CA8
N608UX,Embraer ERJ 175LR,Embraer,ERJ 175LR,5,3241,0CA9
N609AS,Boeing 737-790,Boeing,737-700,25,3242,0CAA
N609FR,Airbus A321neo,Airbus,A321neo,1,3243,0CAB
N609NK,Airbus A320-232,Airbus,A320-200,13,3244,0CAC
N609NN,Bombardier CRJ-900,Bombardier,CRJ-900,5,3245,0CAD
N609SK,Bombardier CRJ-700,Bombardier,CRJ-700,22,3246,0CAE
N609UX,Embraer ERJ 175LR,Embraer,ERJ 175LR,5,3247,0CAF
N646QX,Embraer ERJ 175LR,Embraer,ERJ 175LR,6,3248,0CB0
N646RW,Embraer ERJ 170STD,Embraer,ERJ 170STD,19,3249,0CB1
N647AE,Embraer EMB-145LR,Embraer,EMB-145LR,24,3250,0CB2
N647AW,Airbus A320-232,Airbus,A320-200,27,3251,0CB3
N647NK,Airbus A320-232,Airbus,A320-200,7,3252,0CB4
N647QX,Embraer ERJ 175LR,Embraer,ERJ 175LR,6,3253,0CB5
N647RW,Embraer ERJ 170STD,Embraer,ERJ 170STD,19,3254,0CB6
N647UA,Boeing 767-322,Boeing,767-300,32,3255,0CB7
N64809,Boeing 737-924ER,Boeing,737-900ER,11,3256,0CB8
N64844,Boeing 737-924ER,Boeing,737-900ER,9,3257,0CB9
N648AE,Embraer EMB-145LR,Embraer,EMB-145LR,24,3258,0CBA
N648JB,Airbus A320-232,Airbus,A320-200,18,3259,0CBB
N648NK,Airbus A320-232,Airbus,A320-200,7,3260,0CBC
N648QX,Embraer ERJ 175LR,Embraer,ERJ 175LR,5,3261,0CBD
N648UA,Boeing 767-322,Boeing,767-300,32,3262,0CBE
N649AW,Airbus A320-232,Airbus,A320-200,26,3263,0CBF
N649JB,Airbus A320-232,Airbus,A320-200,18,3264,0CC0
N649NK,Airbus A320-232,Airbus,A320-200,7,3265,0CC1
N649PP,Embraer EMB-145LR,Embraer,EMB-145LR,24,3266,0CC2
N649QX,Embraer ERJ 175LR,Embraer,ERJ 175LR,5,3267,0CC3
N649RW,Embraer ERJ 170STD,Embraer,ERJ 170STD,19,3268,0CC4
N649UA,Boeing 767-322,Boeing,767-300,32,3269,0CC5
N650AE,Embraer EMB-145LR,Embraer,EMB-145LR,23,3270,0CC6
N650AW,Airbus A320-232,Airbus,A320-200,26,3271,0CC7
N650NK,Airbus A320-232,Airbus,A320-200,7,3272,0CC8
N650QX,Embraer ERJ 175LR,Embraer,ERJ 175LR,5,3273,0CC9
N650RW,Embraer ERJ 170STD,Embraer,ERJ 170STD,19,3274,0CCA
N651AE,Embraer EMB-145LR,Embraer,EMB-145LR,23,3275,0CCB
N651AW,Airbus A320-232,Airbus,A320-200,26,3276,0CCC
N651JB,Airbus A320-232,Airbus,A320-200,17,3277,0CCD
N651NK,Airbus A320-232,Airbus,A320-200,7,3278,0CCE
N651QX,Embraer ERJ 175LR,Embraer,ERJ 175LR,5,3279,0CCF
N651RW,Embraer ERJ 170STD,Embraer,ERJ 170STD,19,3280,0CD0
N651UA,Boeing 767-322,Boeing,767-300,32,3281,0CD1
N652AW,Airbus A320-232,Airbus,A320-200,25,3282,0CD2
N652BR,Bombardier CRJ-200LR,Bombardier,CRJ-200LR,24,3283,0CD3
N652JB,Airbus A320-232,Airbus,A320-200,17,3284,0CD4
N652MK,Embraer ERJ 175LR,Embraer,ERJ 175LR,2,3285,0CD5
N652NK,Airbus A320-232,Airbus,A320-200,7,3286,0CD6
N652RS,Embraer EMB-145LR,Embraer,EMB-145LR,23,3287,0CD7
N652UA,Boeing 767-322,Boeing,767-300,32,3288,0CD8
N653AE,Embraer EMB-145LR,Embraer,EMB-145LR,23,3289,0CD9
N653AW,Airbus A320-232,Airbus,A320-200,25,3290,0CDA
N653JB,Airbus A320-232,Airbus,A320-200,17,3291,0CDB
N653NK,Airbus A320-232,Airbus,A320-200,6,3292,0CDC
N653QX,Embraer ERJ 175LR,Embraer,ERJ 175LR,2,3293,0CDD
N653RW,Embraer ERJ 170STD,Embraer,ERJ 170STD,19,3294,0CDE
N653UA,Boeing 767-322,Boeing,767-300,32,3295,0CDF
N654AE,Embraer EMB-145LR,Embraer,EMB-145LR,23,3296,0CE0
N654AW,Airbus A320-232,Airbus,A320-200,25,3297,0CE1
N654NK,Airbus A320-232,Airbus,A320-200,6,3298,0CE2
N654QX,Embraer ERJ 175LR,Embraer,ERJ 175LR,2,3299,0CE3
N654RW,Embraer ERJ 170STD,Embraer,ERJ 170STD,19,3300,0CE4
N654UA,Boeing 767-322,Boeing,767-300,32,3301,0CE5
N655AE,Embraer EMB-145LR,Embraer,EMB-145LR,23,3302,0CE6
N655AW,Airbus A320-232,Airbus,A320-200,25,3303,0CE7
N655CA,Bombardier CRJ-701ER,Bombardier,CRJ-700ER,20,3304,0CE8
N655JB,Airbus A320-232,Airbus,A320-200,17,3305,0CE9
N655NK,Airbus A320-232,Airbus,A320-200,6,3306,0CEA
N655QX,Embraer ERJ 175LR,Embraer,ERJ 175LR,1,3307,0CEB
N655RW,Embraer ERJ 170STD,Embraer,ERJ 170STD,19,3308,0CEC
N655UA,Boeing 767-322,Boeing,767-300,32,3309,0CED
N656AE,Embraer EMB-145LR,Embraer,EMB-145LR,21,3310,0CEE
N656AW,Airbus A320-232,Airbus,A320-200,25,3311,0CEF
N656CA,Bombardier CRJ-700,Bombardier,CRJ-700,20,3312,0CF0
N656JB,Airbus A320-232,Airbus,A320-200,17,3313,0CF1
N656NK,Airbus A320-232,Airbus,A320-200,6,3314,0CF2
N656QX,Embraer ERJ 175LR,Embraer,ERJ 175LR,1,3315,0CF3
N656RW,Embraer ERJ 170STD,Embraer,ERJ 170STD,19,3316,0CF4
N656UA,Boeing 767-322,Boeing,767-300,31,3317,0CF5
