Name,City,ISO-3166,Country,IATA,Latitude,Longitude,Key,Hex
Albany Airport,Albany,AU,Australia,ALH,-34.9433,117.809,169,00A9
Amata Airport,Amata,AU,Australia,AMT,-26.1083,131.207,170,00AA
Armidale Airport,Armidale,AU,Australia,ARM,-30.5281,151.617,171,00AB
Ararat Airport,Ararat,AU,Australia,ARY,-37.3094,142.989,172,00AC
Alice Springs Airport,Alice Springs,AU,Australia,ASP,-23.8067,133.902,173,00AD
Aurukun Airport,Aurukun,AU,Australia,AUU,-13.3541,141.7207,174,00AE
Avalon Airport,Avalon,AU,Australia,AVV,-38.0394,144.469,175,00AF
Ayers Rock Connellan Airport,Uluru,AU,Australia,AYQ,-25.1861,130.976,176,00B0
Ballera Airport,Ballera,AU,Australia,BBL,-27.4056,141.8095,177,00B1
Barcaldine Airport,Barcaldine,AU,Australia,BCI,-23.5653,145.307,178,00B2
Bundaberg Airport,Bundaberg,AU,Australia,BDB,-24.9039,152.319,179,00B3
Badu Island Airport,Badu Island,AU,Australia,BDD,-10.15,142.1734,180,00B4
Lake Macquarie Airport,Lake Macquarie,AU,Australia,BEO,-33.0667,151.648,181,00B5
Bedourie Airport,Bedourie,AU,Australia,BEU,-24.3461,139.46,182,00B6
Broken Hill Airport,Broken Hill,AU,Australia,BHQ,-32.0014,141.472,183,00B7
Bathurst Airport,Bathurst,AU,Australia,BHS,-33.4094,149.652,184,00B8
Blackall Airport,Blackall,AU,Australia,BKQ,-24.4278,145.429,185,00B9
Benalla Airport,Benalla,AU,Australia,BLN,-36.5519,146.007,186,00BA
Blackwater Airport,Blackwater,AU,Australia,BLT,-23.6031,148.807,187,00BB
Broome International Airport,Broome,AU,Australia,BME,-17.9447,122.232,188,00BC
Brampton Island Airport,Brampton Island,AU,Australia,BMP,-20.8033,149.27,189,00BD
Brisbane International Airport,Brisbane,AU,Australia,BNE,-27.3842,153.117,190,00BE
Ballina Byron Gateway Airport,Ballina Byron Bay,AU,Australia,BNK,-28.8339,153.562,191,00BF
Borroloola Airport,Borroloola,AU,Australia,BOX,-16.0753,136.302,192,00C0
Busselton Regional Airport,Brusselton,AU,Australia,BQB,-33.6884,115.4016,193,00C1
Boulia Airport,Boulia,AU,Australia,BQL,-22.9133,139.9,194,00C2
Balgo Hill,Balgo Hill,AU,Australia,BQW,-20.1483,127.9733,195,00C3
Bourke Airport,Bourke,AU,Australia,BRK,-30.0392,145.952,196,00C4
Bathurst Island Airport,Bathurst Island,AU,Australia,BRT,-11.7692,130.62,197,00C5
Bairnsdale Airport,Bairnsdale,AU,Australia,BSJ,-37.8875,147.568,198,00C6
Burketown Airport,Burketown,AU,Australia,BUC,-17.7486,139.534,199,00C7
Bunbury Airport,Bunbury,AU,Australia,BUY,-33.3783,115.677,200,00C8
Birdsville Airport,Birdsville,AU,Australia,BVI,-25.8975,139.348,201,00C9
Barrow Island Airport,Barrow Island,AU,Australia,BWB,-20.8644,115.406,202,00CA
Brewarrina Airport,Brewarrina,AU,Australia,BWQ,-29.9739,146.817,203,00CB
Wynyard Airport,Burnie,AU,Australia,BWT,-40.9989,145.731,204,00CC
Sydney Bankstown Airport,Sydney,AU,Australia,BWU,-33.9244,150.988,205,00CD
Bendigo Airport,Bendigo,AU,Australia,BXG,-36.7394,144.33,206,00CE
Barimunya Airport,Barimunya,AU,Australia,BYP,-22.6739,119.166,207,00CF
Balranald Airport,Balranald,AU,Australia,BZD,-34.6236,143.578,208,00D0
Cobar Airport,Cobar,AU,Australia,CAZ,-31.5383,145.794,209,00D1
Cape Barren Island,Cape Barren Island,AU,Australia,CBI,-40.3897,148.0158,210,00D2
Canberra International Airport,Canberra,AU,Australia,CBR,-35.3069,149.195,211,00D3
Chinchilla Airport,Chinchilla,AU,Australia,CCL,-26.775,150.617,212,00D4
Cooinda Airport,Cooinda,AU,Australia,CDA,-12.9033,132.532,213,00D5
Camden Airport,Camden,AU,Australia,CDU,-34.0403,150.687,214,00D6
Ceduna Airport,Ceduna,AU,Australia,CED,-32.1306,133.71,215,00D7
Cessnock Airport,Cessnock,AU,Australia,CES,-32.7875,151.342,216,00D8
Coffs Harbour Airport,Coff's Harbour,AU,Australia,CFS,-30.3206,153.116,217,00D9
Coondewanna Airport,Coondewanna,AU,Australia,CJF,-22.9667,118.813,218,00DA
Croker Island Airport,Croker Island,AU,Australia,CKI,-11.165,132.483,219,00DB
Christmas Creek Mine,Christmas Creek Mine,AU,Australia,CKW,-22.355,119.643,220,00DC
Cunnamulla Airport,Cunnamulla,AU,Australia,CMA,-28.03,145.622,221,00DD
Cootamundra Airport,Cootamundra,AU,Australia,CMD,-34.6239,148.028,222,00DE
Clermont Airport,Clermont,AU,Australia,CMQ,-22.7731,147.621,223,00DF
Coonamble Airport,Coonamble,AU,Australia,CNB,-30.9833,148.376,224,00E0
Coconut Island Airport,Coconut Island,AU,Australia,CNC,-10.05,143.07,225,00E1
Cloncurry Airport,Cloncurry,AU,Australia,CNJ,-20.6686,140.504,226,00E2
Cairns International Airport,Cairns,AU,Australia,CNS,-16.8858,145.755,227,00E3
Coonabarabran Airport,Coonabarabran,AU,Australia,COJ,-31.3325,149.267,228,00E4
Coober Pedy Airport,Coober Pedy,AU,Australia,CPD,-29.04,134.721,229,00E5
Collarenebri,Collarenebri,AU,Australia,CRB,-29.5219,148.5822,230,00E6
Charleville Airport,Charlieville,AU,Australia,CTL,-26.4133,146.262,231,00E7
Cooktown Airport,Cooktown,AU,Australia,CTN,-15.4447,145.184,232,00E8
Caloundra Airport,Caloundra,AU,Australia,CUD,-26.8,153.1,233,00E9
Coen Airport,Coen,AU,Australia,CUQ,-13.7611,143.1133,234,00EA
Cleve Airport,Cleve,AU,Australia,CVC,-33.7097,136.505,235,00EB
Carnarvon Airport,Carnarvon,AU,Australia,CVQ,-24.8802,113.6717,236,00EC
Cowra Airport,Chatsworth,AU,Australia,CWT,-33.8447,148.649,237,00ED
Corowa Airport,Corowa,AU,Australia,CWW,-35.9947,146.357,238,00EE
Corryong Airport,Corryong,AU,Australia,CYG,-36.1828,147.888,239,00EF
Dubbo City Regional Airport,Dubbo,AU,Australia,DBO,-32.2167,148.575,240,00F0
Dalby,Dalby,AU,Australia,DBY,-27.1553,151.2672,241,00F1
RAAF Base Curtin,Derby,AU,Australia,DCN,-17.5814,123.828,242,00F2
Mudgee Airport,Mudgee,AU,Australia,DGE,-32.5625,149.611,243,00F3
Dunk Island Airport,Dunk Island,AU,Australia,DKI,-17.9417,146.14,244,00F4
Docker River Airport,Docker River,AU,Australia,DKV,-24.86,129.07,245,00F5
Dulkaninna Airport,Dulkaninna,AU,Australia,DLK,-29.0133,138.481,246,00F6
Delissaville,Delissaville,AU,Australia,DLV,-12.5506,130.6856,247,00F7
Doomadgee Airport,Doomadgee,AU,Australia,DMD,-17.9403,138.822,248,00F8
Deniliquin Airport,Deniliquin,AU,Australia,DNQ,-35.5594,144.946,249,00F9
Devonport Airport,Devonport,AU,Australia,DPO,-41.1697,146.43,250,00FA
Derby Airport,Derby,AU,Australia,DRB,-17.37,123.661,251,00FB
Dirranbandi Airport,Dirranbandi,AU,Australia,DRN,-28.5917,148.217,252,00FC
Darwin International Airport,Darwin,AU,Australia,DRW,-12.4147,130.877,253,00FD
Davenport Downs,Davenport Downs,AU,Australia,DVP,-24.146,141.112,254,00FE
Daly River Mission Airport,Daly River Mission,AU,Australia,DVR,-13.75,130.6939,255,00FF
Dysart Airport,Dysart,AU,Australia,DYA,-22.6222,148.364,256,0100
Echuca Airport,Echuca,AU,Australia,ECH,-36.1572,144.762,257,0101
Erldunda Airport,Erldunda,AU,Australia,EDD,-25.2058,133.254,258,0102
Pormpuraaw Airport,Pormpuraaw,AU,Australia,EDR,-14.8965,141.6091,259,0103
Elcho Island Airport,Elcho Island,AU,Australia,ELC,-12.0194,135.571,260,0104
Emerald Airport,Emerald,AU,Australia,EMD,-23.5675,148.179,261,0105
Esperance Airport,Esperance,AU,Australia,EPR,-33.6844,121.823,262,0106
Pukatja,Pukatja,AU,Australia,ERB,-26.2653,132.1764,263,0107
Exmouth Gulf,Exmouth Gulf,AU,Australia,EXM,-22.0414,114.1019,264,0108
Finke Airport,Finke,AU,Australia,FIK,-25.5947,134.583,265,0109
Fitzroy Crossing Airport,Fitzroy Crossing,AU,Australia,FIZ,-18.1819,125.559,266,010A
Flinders Island Airport,Flinders Island,AU,Australia,FLS,-40.0917,147.993,267,010B
Forrest Airport,Forrest,AU,Australia,FOS,-30.8381,128.115,268,010C
Forbes Airport,Forbes,AU,Australia,FRB,-33.3636,147.935,269,010D
Gayndah Airport,Gayndah,AU,Australia,GAH,-25.6144,151.619,270,010E
Goulburn Island,Goulburn Island,AU,Australia,GBL,-11.6506,133.375,271,010F
Ginbata Airport,Roy Hill Mine,AU,Australia,GBW,-22.582,120.035,272,0110
Geraldton Airport,Geraldton,AU,Australia,GET,-28.7961,114.707,273,0111
Geelong Airport,Geelong,AU,Australia,GEX,-38.225,144.333,274,0112
Griffith Airport,Griffith,AU,Australia,GFF,-34.2508,146.067,275,0113
Grafton Airport,Grafton,AU,Australia,GFN,-29.7594,153.03,276,0114
Boigu Airport,Boigu,AU,Australia,GIC,-9.2328,142.218,277,0115
Great Keppel Is Airport,Great Keppel Island,AU,Australia,GKL,-23.1833,150.942,278,0116
Glen Innes Airport,Glen Innes,AU,Australia,GLI,-29.675,151.689,279,0117
Gladstone Airport,Gladstone,AU,Australia,GLT,-23.8697,151.223,280,0118
Goondiwindi Airport,Goondiwindi,AU,Australia,GOO,-28.5214,150.32,281,0119
Gove Airport,Gove,AU,Australia,GOV,-12.2694,136.818,282,011A
Garden Point Airport,Pirlangimpi,AU,Australia,GPN,-11.4025,130.422,283,011B
Groote Eylandt Airport,Groote Eylandt,AU,Australia,GTE,-13.975,136.46,284,011C
The Granites,The Granites,AU,Australia,GTS,-20.5486,130.3506,285,011D
Gunnedah Airport,Gunnedah,AU,Australia,GUH,-30.9611,150.251,286,011E
Goulburn Airport,Goulburn,AU,Australia,GUL,-34.8103,149.726,287,011F
Wodgina Airport,Wodgina,AU,Australia,GYB,-21.1398,118.6934,288,0120
Argyle Airport,Argyle,AU,Australia,GYL,-16.6369,128.451,289,0121
Gruyere Mine Airport,Gruyere,AU,Australia,GYZ,-28.034,123.814,290,0122
Hobart International Airport,Hobart,AU,Australia,HBA,-42.8361,147.51,291,0123
Halls Creek Airport,Halls Creek,AU,Australia,HCQ,-18.2339,127.67,292,0124
Hughenden Airport,Hughenden,AU,Australia,HGD,-20.815,144.225,293,0125
Horn Island Airport,Horn Island,AU,Australia,HID,-10.5864,142.29,294,0126
Hamilton Airport,Hamilton,AU,Australia,HLT,-37.6489,142.065,295,0127
Hermannsburg Airport,Hermannsburg,AU,Australia,HMG,-23.93,132.805,296,0128
Hooker Creek Airport,Hooker Creek,AU,Australia,HOK,-18.3367,130.638,297,0129
Horsham Airport,Horsham,AU,Australia,HSM,-36.6697,142.173,298,012A
Hamilton Island Airport,Hamilton Island,AU,Australia,HTI,-20.3581,148.952,299,012B
Hopetoun Airport,Hopetoun,AU,Australia,HTU,-35.7153,142.36,300,012C
Hervey Bay Airport,Hervey Bay,AU,Australia,HVB,-25.3189,152.88,301,012D
Hay Airport,Hay,AU,Australia,HXX,-34.5314,144.83,302,012E
Iron Bridge Mine Airport,Marble Bar,AU,Australia,IBM,-21.2882,118.8871,303,012F
Innisfail Airport,Innisfail,AU,Australia,IFL,-17.5594,146.012,304,0130
Injune,Injune,AU,Australia,INJ,-25.8508,148.5494,305,0131
Lockhart River Airport,Lockhart River,AU,Australia,IRG,-12.7869,143.305,306,0132
Mount Isa Airport,Mount Isa,AU,Australia,ISA,-20.6639,139.489,307,0133
